,ESB Chiller Plant plantEfficiency,ESB_Chillers Demand,ESB_Chillers percentRefrigerationLoad,ESB_Chillers tonnage,Active_Chiller_Load_Percent Value,Primary_CHW_Flow Value,Building_Load Value,ESB_Chillers chillerEvapDifferentialPress,ESB_Chillers chillerCondDifferentialPress,ESB_Chillers chillerCondLeavingWaterTemp,ESB_Chillers chillerEvapEnteringWaterTemp,ESB_Chillers outdoorAirTemp,ESB_Chillers chillerEvapLeavingWaterTemp,ESB_Chillers chillerTotalKw,ESB_Chillers chillerCondEnteringWaterTemp,ESB_Chillers chillerEvapWaterFlow,time,anomaly,kmeans_labels,path_index,hour,pattern
3652,0.5959,170.71,47.51,380.06,45.91,1822.9,478.74,5.2324,4.7747,82.08,47.55,88.11,42.28,187.61,77.68,1731.39,8/18/2020 14:00,FALSE,2,6,14,1
3653,0.613,184.15,48.91,391.24,51.58,1816.7,525.64,5.2285,4.749,83.68,47.9,88.8,42.48,192.96,78.91,1732.55,8/18/2020 15:00,FALSE,2,6,15,1
3654,0.6068,190.43,50.61,404.91,49.46,1808.71,504.16,5.2223,4.7537,83.79,47.74,89.55,42.14,200.71,79.02,1732.96,8/18/2020 16:00,FALSE,2,6,16,1
3655,0.6092,186.75,49.74,397.93,49.89,1831.57,510.5,5.2269,4.7729,83.23,47.67,88.47,42.16,190.17,78.64,1732.45,8/18/2020 17:00,FALSE,2,6,17,1
3656,0.6368,181.22,46.49,371.95,48.9,1817.68,499.74,5.2091,4.7657,83.06,47.44,88.13,42.28,190.95,78.69,1730.71,8/18/2020 18:00,FALSE,2,6,18,1
3657,0.6268,165.65,44.18,353.45,47.44,1827.83,485.82,5.2175,4.8063,81.72,47.29,84.85,42.38,183.78,77.74,1729.84,8/18/2020 19:00,FALSE,2,6,19,1
3658,0.6167,157.83,43.36,346.91,40.69,1834.65,436.28,5.2132,4.8249,80.35,47.01,81.03,42.2,206.57,76.62,1730.63,8/18/2020 20:00,FALSE,2,6,20,1
3659,0.613,138.61,39.66,317.26,40.75,1820.05,438.74,5.2237,4.8684,78.18,46.59,77.26,42.19,149.86,74.88,1731.85,8/18/2020 21:00,FALSE,2,6,21,1
3660,0.6315,131.31,37.08,296.62,38.24,1810.12,408.4,5.2211,4.881,76.94,46.31,76.36,42.2,136.66,73.81,1732.04,8/18/2020 22:00,FALSE,1,6,22,1
3661,0.5998,141.75,41.53,332.21,33.58,1837.42,375.76,5.2216,4.8533,77.79,46.84,73.68,42.24,176.11,74.23,1733.42,8/18/2020 23:00,FALSE,2,6,23,1
3662,0.5712,156.49,46.48,371.85,43.94,1807.48,460.18,5.2062,4.8228,78.96,47.47,71.6,42.32,168.7,74.69,1731.61,8/19/2020 0:00,FALSE,3,4,0,1
3663,0.5644,150.55,45.67,365.33,51.26,1819.43,510.17,5.2091,4.8512,78.08,47.29,70.3,42.23,165.56,74,1732.07,8/19/2020 1:00,FALSE,3,4,1,1
3664,0.5645,140.18,43.39,347.11,45.76,1831.63,468.54,5.2225,4.8734,76.92,47.07,69.96,42.27,153.87,73.14,1733.39,8/19/2020 2:00,FALSE,3,4,2,1
3665,0.5646,137.28,42.76,342.04,41.14,1823.14,442.66,5.2057,4.8731,76.42,46.97,68.59,42.23,153,72.73,1730.8,8/19/2020 3:00,FALSE,3,4,3,1
3666,0.5573,137.19,43.27,346.2,40.59,1823.47,435.53,5.2068,4.872,76.54,47.05,68.2,42.25,148.87,72.86,1732.75,8/19/2020 4:00,FALSE,3,4,4,1
3667,0.5707,143.68,43.69,349.55,42.3,1798.42,445.71,5.1956,4.8318,77.27,47.15,68.89,42.3,156.05,73.43,1730.82,8/19/2020 5:00,FALSE,2,4,5,1
3668,0.557,157.79,47.92,383.38,44.57,1815.63,463.67,5.2107,4.833,78.43,47.57,69.34,42.26,165.58,74.04,1733.55,8/19/2020 6:00,FALSE,5,,6,1
3669,0.5397,162.68,50.54,404.35,49.12,1830.69,505.44,5.2212,4.8327,79.04,47.84,69.67,42.24,166.79,74.49,1730.79,8/19/2020 7:00,FALSE,4,,7,1
3670,0.5388,159.16,49.86,398.85,49.87,1799.37,504.54,5.2274,4.8297,79.32,48.04,70.79,42.52,167.48,74.74,1732.78,8/19/2020 8:00,FALSE,3,6,8,1
3671,0.5695,166.51,48.83,390.63,51.46,1828.97,524.34,5.2248,4.8155,79.72,47.9,72.13,42.48,170.41,74.89,1731.19,8/19/2020 9:00,FALSE,1,6,9,1
3672,0.5533,171.49,51.36,410.9,52.55,1835.9,538.62,5.2208,4.8141,80.12,47.95,73.78,42.26,175.25,75.24,1733.62,8/19/2020 10:00,FALSE,2,6,10,1
3673,0.5421,172.67,52.65,421.19,51.82,1834.34,527.53,5.223,4.8155,80.35,48.09,75.17,42.26,178.71,75.41,1732.55,8/19/2020 11:00,FALSE,2,6,11,1
3674,0.5455,175.14,52.9,423.23,51.23,1807.14,515,5.2185,4.8055,80.69,48.12,77,42.26,181.25,75.74,1733.74,8/19/2020 12:00,FALSE,2,6,12,1
3675,0.5742,155.2,46.21,369.64,54.01,1835.28,547.59,5.2146,4.8165,79.54,47.42,78.81,42.3,190.18,75.31,1732.71,8/19/2020 13:00,FALSE,2,6,13,1
3676,0.5875,155.03,44.86,358.9,44.34,1820.69,459.56,5.2158,4.8115,79.53,47.23,81.11,42.26,164.08,75.56,1731.07,8/19/2020 14:00,FALSE,2,6,14,1
3677,0.5794,156.23,45.79,366.35,35.42,1813.79,390.58,5.2228,4.7902,80.56,47.38,82.71,42.3,176.72,76.44,1730.34,8/19/2020 15:00,FALSE,2,6,15,1
3678,0.5821,159.5,46.23,369.85,45.62,1821.56,472.44,5.2186,4.7945,80.67,47.36,84.01,42.23,168.9,76.52,1729.82,8/19/2020 16:00,FALSE,2,6,16,1
3679,0.5843,163.06,46.83,374.62,46.32,1805.32,480.6,5.2182,4.7927,80.81,47.42,82.87,42.22,201.63,76.65,1731.25,8/19/2020 17:00,FALSE,2,6,17,1
3680,0.6163,141.91,40.32,322.53,44.53,1783.85,453.88,5.2165,4.8281,79.37,46.81,81.37,42.34,168.1,75.79,1730.35,8/19/2020 18:00,FALSE,2,6,18,1
3681,0.5886,147.17,43.13,345.04,39.8,1806.35,424.46,5.2017,4.8199,79.35,46.96,79.6,42.18,168.56,75.69,1732.49,8/19/2020 19:00,FALSE,2,6,19,1
3682,0.6073,142.53,40.89,327.1,38.55,1816.9,411.59,5.216,4.8288,79.04,46.78,78.02,42.25,166.07,75.5,1731.09,8/19/2020 20:00,FALSE,2,6,20,1
3683,0.5974,138.92,40.73,325.87,38.86,1818.9,414.62,5.2229,4.8398,78.56,46.69,76.61,42.17,153.09,75.24,1730.55,8/19/2020 21:00,FALSE,2,6,21,1
3684,0.6149,140.63,36.72,320.65,46.45,1830.45,503.27,5.2123,4.6017,77.57,46.94,75.29,42.89,164,74.51,1733.58,8/19/2020 22:00,FALSE,1,6,22,1
3685,0.6246,129.43,37.3,298.42,38.71,1836.52,415.96,5.2214,4.894,76.75,46.59,74.73,42.45,185.83,73.55,1732.17,8/19/2020 23:00,FALSE,2,6,23,1
3686,0.5955,129.21,39.03,312.2,35.95,1825.45,395.9,5.2136,4.8738,76.3,46.5,73.55,42.17,150.41,73.11,1730.75,8/20/2020 0:00,FALSE,3,4,0,1
3687,0.5754,140.38,42.61,340.91,41.59,1831.15,442.5,5.2068,4.8635,77.12,47.02,72.69,42.3,154.17,73.3,1733.01,8/20/2020 1:00,FALSE,3,4,1,1
3688,0.5595,138.84,43.49,347.96,46.23,1833.47,481.75,5.2149,4.8661,76.83,47.1,72.11,42.27,149.04,73,1728.03,8/20/2020 2:00,FALSE,3,4,2,1
3689,0.5614,135.37,42.56,340.51,40.95,1813.49,436.78,5.2076,4.8743,76.15,46.93,71.14,42.21,142.54,72.45,1730.6,8/20/2020 3:00,FALSE,3,4,3,1
3690,0.546,130.15,42.58,340.66,43.55,1807.98,456.04,5.2019,4.8812,75.74,46.94,70.56,42.21,136.38,72.1,1728.6,8/20/2020 4:00,FALSE,3,4,4,1
3691,0.5503,130.53,42.44,339.52,42.25,1826.52,455.57,5.2196,4.8957,75.55,46.92,70.03,42.21,133.81,71.9,1729.58,8/20/2020 5:00,FALSE,2,4,5,1
3692,0.545,138.45,44.61,356.86,42.52,1837.83,452.91,5.2232,4.8696,76.24,47.16,69.78,42.21,144.15,72.23,1730.08,8/20/2020 6:00,FALSE,5,,6,1
3693,0.5469,141.22,45.02,360.2,43.83,1820.31,474.84,5.2062,4.8703,76.51,47.28,70.45,42.28,148.35,72.5,1730.42,8/20/2020 7:00,FALSE,4,,7,1
3694,0.5404,152.18,48.15,385.24,46.12,1816.73,476.63,5.23,4.8338,77.97,47.55,72.51,42.21,160.64,73.55,1733.4,8/20/2020 8:00,FALSE,3,6,8,1
3695,0.5434,160.86,49.88,399.01,48.92,1820.07,503.2,5.2123,4.8162,79.27,47.8,75.18,42.26,167.61,74.74,1730.85,8/20/2020 9:00,FALSE,1,6,9,1
3696,0.6135,149.49,42.01,336.08,51.24,1807.69,512.08,5.2142,4.8282,79.2,46.91,79.03,42.26,176.51,75.39,1731.85,8/20/2020 10:00,FALSE,2,6,10,1
3697,0.6142,167.12,45.39,363.1,42.73,1825.86,451.02,5.2143,4.7967,81.3,47.43,82.65,42.39,174.28,77.11,1729.34,8/20/2020 11:00,FALSE,2,6,11,1
3698,0.6178,178.11,47.31,378.49,47.85,1818.92,493,5.2185,4.7739,82.62,47.8,86.32,42.56,187.76,78.1,1732.61,8/20/2020 12:00,FALSE,2,6,12,1
3699,0.5983,175.43,48.33,386.68,48.47,1805.89,500.05,5.2305,4.7895,82.22,47.6,88.69,42.24,190.54,77.83,1731.36,8/20/2020 13:00,FALSE,2,6,13,1
3700,0.5874,171.13,48.3,386.37,43.8,1844.11,463.64,5.2168,4.8015,82.25,47.58,89,42.22,184.27,77.79,1732.04,8/20/2020 14:00,FALSE,2,6,14,1
3701,0.576,171.76,49.35,394.84,47.64,1825.43,490.49,5.2212,4.7811,82.78,47.69,88.69,42.22,180.53,78.17,1733.42,8/20/2020 15:00,FALSE,2,6,15,1
3702,0.5813,175.29,49.65,397.18,47.02,1812.98,481.77,5.2321,4.7775,82.71,47.72,88.26,42.22,193.05,78.11,1731.99,8/20/2020 16:00,FALSE,2,6,16,1
3703,0.613,169.41,45.93,367.4,44.73,1801.03,465.49,5.2191,4.794,82.45,47.44,86.55,42.34,182.16,77.9,1731.04,8/20/2020 17:00,FALSE,2,6,17,1
3704,0.6091,170.71,46.47,371.79,48.65,1843.55,498.35,5.206,4.8005,82.1,47.14,85.09,41.98,210.84,77.87,1729.91,8/20/2020 18:00,FALSE,2,6,18,1
3705,0.6219,163.96,44.14,353.15,43.11,1828.98,455.2,5.227,4.8143,81.49,47.07,83.04,42.17,169.31,77.53,1732.64,8/20/2020 19:00,FALSE,2,6,19,1
3706,0.6388,161.77,42.54,340.34,42.43,1829.58,447.41,5.2309,4.8087,81.17,47.02,81.66,42.3,174.26,77.21,1731.74,8/20/2020 20:00,FALSE,2,6,20,1
3707,0.6374,166.92,43.71,349.71,44.71,1829.71,465.84,5.1969,4.7956,81.92,47.04,80.45,42.2,172.55,77.93,1732.45,8/20/2020 21:00,FALSE,2,6,21,1
3708,0.646,165.4,42.79,342.36,42.65,1822.02,448.32,5.2221,4.8101,81.82,47.07,79.46,42.32,173.01,77.81,1730.67,8/20/2020 22:00,FALSE,1,6,22,1
3709,0.6406,165.57,43.2,345.63,43.41,1804.01,446.79,5.217,4.8158,81.52,47.12,78.24,42.33,170.3,77.6,1729.84,8/20/2020 23:00,FALSE,2,6,23,1
3710,0.6591,160,40.92,327.36,43.55,1839.5,459.4,5.2201,4.8261,80.94,46.85,77.38,42.31,169.27,77.16,1729.57,8/21/2020 0:00,FALSE,3,4,0,1
3711,0.6317,153.63,41.41,331.28,41.8,1832.49,443.51,5.2087,4.8278,80.36,46.8,76.57,42.21,158.74,76.71,1731.5,8/21/2020 1:00,FALSE,3,4,1,1
3712,0.6194,141.69,39.83,318.67,41.94,1835.64,448.41,5.2115,4.8641,78.46,46.68,75.65,42.26,151.51,75.11,1731.5,8/21/2020 2:00,FALSE,3,4,2,1
3713,0.5916,154.65,44.61,356.92,38.02,1836.07,420.88,5.2146,4.8335,79.46,47.51,72.77,42.56,174.93,75.29,1730.56,8/21/2020 3:00,FALSE,3,4,3,1
3714,0.5702,173.88,50.33,402.62,51.74,1826.55,529.37,5.2154,4.8005,80.98,48.06,72.74,42.48,183.87,75.99,1732.62,8/21/2020 4:00,FALSE,3,4,4,1
3715,0.5792,163.33,47.31,378.47,51.04,1816.04,519.95,5.2162,4.8064,80.15,47.73,72.79,42.48,173.51,75.54,1729.86,8/21/2020 5:00,FALSE,2,4,5,1
3716,0.5583,174.63,51.6,412.76,48.88,1814.3,503.55,5.2238,4.8166,80.72,48.2,72.59,42.48,191.04,75.61,1730.71,8/21/2020 6:00,FALSE,3,6,6,1
3717,0.5727,166.24,48.49,387.91,52.35,1828.57,530.88,5.2129,4.8476,79.63,47.86,72.99,42.48,170.71,74.77,1731.57,8/21/2020 7:00,FALSE,4,,7,1
3718,0.5714,167.71,48.91,391.28,50.95,1832,519.82,5.2086,4.8388,79.9,47.9,73.54,42.48,179,74.94,1731.34,8/21/2020 8:00,FALSE,3,6,8,1
3719,0.5755,179.45,51.11,408.91,50.46,1831.25,519.15,5.2233,4.8097,80.95,48.15,74.74,42.48,187.09,75.79,1731.41,8/21/2020 9:00,FALSE,1,6,9,1
3720,0.5783,190.96,53.33,426.65,53.45,1840.23,546.17,5.2015,4.7877,82.32,48.4,75.19,42.48,199.6,76.89,1730.8,8/21/2020 10:00,FALSE,2,6,10,1
3721,0.573,201.44,56.08,448.64,57.49,1839.07,574.45,5.2131,4.7776,83.27,48.7,74.74,42.48,214.68,77.4,1732.49,8/21/2020 11:00,FALSE,2,6,11,1
3722,0.5881,222.32,59.09,472.72,58.86,1806.15,585.54,5.2088,4.7683,84.98,49.04,75.11,42.48,233.99,78.81,1728.62,8/21/2020 12:00,FALSE,2,6,12,1
3723,0.5657,225.28,62.07,496.53,64.08,1825.11,634.94,5.2173,4.8504,85.09,49.37,74.59,42.48,239.17,78.87,1730.27,8/21/2020 13:00,FALSE,2,6,13,1
3724,0.5821,227.93,60.87,486.96,61.03,1818.9,603.42,5.223,4.7179,85.42,49.24,73.71,42.48,235.47,79.15,1728.19,8/21/2020 14:00,FALSE,2,6,14,1
3725,0.5912,240.05,62.5,500,62.72,1825.67,625.07,5.2285,4.7588,86.35,49.42,74.63,42.48,262.68,79.72,1729.74,8/21/2020 15:00,FALSE,2,6,15,1
3726,0.5881,269.12,69.05,552.4,68.43,1814.62,672.91,5.2188,4.9564,88.3,50.14,74.64,42.48,281.04,80.98,1729.88,8/21/2020 16:00,FALSE,2,6,16,1
3727,0.5746,255.01,67.58,540.64,66.9,1838.98,659.78,5.2412,4.8995,86.92,49.99,73.79,42.48,261.97,80.36,1727.72,8/21/2020 17:00,FALSE,2,6,17,1
3728,0.5866,228.45,60.52,484.17,67.52,1807.69,657.59,5.2503,4.8316,84.98,49.19,73.25,42.48,256.45,79.23,1731.52,8/21/2020 18:00,FALSE,2,6,18,1
3729,0.5578,186.32,54.14,433.12,62.03,1826.77,618.28,5.2455,4.8751,80.89,48.31,69.11,42.31,234.16,76.04,1732.12,8/21/2020 19:00,FALSE,2,6,19,1
3730,0.5396,164.96,51.18,409.45,51.31,1806.21,522.96,5.2447,4.8984,78.68,47.86,67.61,42.18,172.25,74.38,1731.66,8/21/2020 20:00,FALSE,2,6,20,1
3731,0.545,156.18,48.69,389.52,51.16,1841.99,523.4,5.2406,4.6868,78.26,47.58,67.32,42.18,167.08,74.23,1730.82,8/21/2020 21:00,FALSE,2,6,21,1
3732,0.5602,156.48,47.4,379.22,46.73,1811.83,486.61,5.2357,4.7671,78.39,47.43,67.3,42.18,163.81,74.25,1732.9,8/21/2020 22:00,FALSE,1,6,22,1
3733,0.5483,151.66,47.35,378.84,47.12,1809.12,482.13,5.2217,4.8196,77.96,47.43,67.3,42.18,156.55,73.83,1731.14,8/21/2020 23:00,FALSE,2,6,23,1
3734,0.5598,147.05,45.33,362.65,46.23,1834.91,475.79,5.2306,4.8515,77.61,47.21,67.47,42.18,151.69,73.68,1730.78,8/22/2020 0:00,FALSE,3,4,0,1
3735,0.5415,149.35,47.36,378.87,47.29,1846.09,494.03,5.2324,4.8355,78.05,47.44,67.89,42.18,153.89,73.85,1730.67,8/22/2020 1:00,FALSE,3,4,1,1
3736,0.5481,152.26,47.41,379.24,47.05,1800.45,480.03,5.22,4.8427,78.18,47.44,68.19,42.18,159.21,74.1,1732.37,8/22/2020 2:00,FALSE,3,4,2,1
3737,0.5553,154.79,47.45,379.56,46.64,1807.77,481.88,5.2342,4.8436,78.7,47.44,68.53,42.18,161.66,74.45,1733.84,8/22/2020 3:00,FALSE,3,4,3,1
3738,0.5546,162.78,49.31,394.46,47.66,1803.66,485.46,5.2157,4.8185,79.35,47.65,68.53,42.18,168.95,74.82,1731.63,8/22/2020 4:00,FALSE,3,4,4,1
3739,0.536,161.11,50.65,405.17,50.82,1806.43,519.08,5.2298,4.8309,79.57,47.79,68.45,42.18,170.83,75.1,1732.86,8/22/2020 5:00,FALSE,2,4,5,1
3740,0.5766,185.14,52.34,418.73,45.58,1805.84,477.7,5.2289,5.0827,80.63,48.29,67.94,42.49,197.23,75.6,1730.79,8/22/2020 6:00,FALSE,3,6,6,1
3741,0.5654,194.55,55.33,442.61,57.59,1843.91,584,5.2455,4.924,81.19,48.62,68.14,42.49,201.18,76.07,1732.75,8/22/2020 7:00,FALSE,1,6,7,1
3742,0.5727,203.55,56.6,452.81,58.11,1801.99,577.73,5.2352,4.8235,82.13,48.77,69.22,42.49,211.92,76.74,1729.99,8/22/2020 8:00,FALSE,3,6,8,1
3743,0.5739,202.11,56.21,449.65,58.41,1807.05,581.43,5.2479,4.8181,82.24,48.72,70.11,42.49,208.36,77.04,1731.2,8/22/2020 9:00,FALSE,1,6,9,1
3744,0.5858,209.53,56.56,452.51,58.66,1806.23,582.37,5.2312,4.7979,82.99,48.77,72.69,42.49,217.37,77.52,1728.45,8/22/2020 10:00,FALSE,2,6,10,1
3745,0.5829,214.54,57.95,463.58,60.51,1809.85,600.43,5.2433,4.7838,83.51,48.92,75.74,42.49,218.84,78.03,1729.58,8/22/2020 11:00,FALSE,2,6,11,1
3746,0.564,212.76,59.54,476.35,60.41,1803.44,591.96,5.2365,4.7923,83.24,48.92,76.64,42.31,217.07,77.9,1730.55,8/22/2020 12:00,FALSE,2,6,12,1
3747,0.5577,184.72,53.91,431.25,59.78,1813.91,594.03,5.2429,4.8109,82.17,48.16,80.84,42.19,211.92,77.84,1734.29,8/22/2020 13:00,FALSE,2,6,13,1
3748,0.5592,179.15,52.44,419.52,50.89,1829.99,519.51,5.2435,4.81,81.71,48.01,81.08,42.19,181.38,77.44,1730.85,8/22/2020 14:00,FALSE,2,6,14,1
3749,0.5732,184.48,52.4,419.21,50.05,1806.18,516.75,5.2415,4.8053,82.31,48.01,80.52,42.19,190.08,78.04,1729.58,8/22/2020 15:00,FALSE,2,6,15,1
3750,0.586,190.24,52.46,419.71,52.08,1828.24,534.28,5.2337,4.7914,83.18,48.01,80.84,42.19,196.23,78.65,1731.66,8/22/2020 16:00,FALSE,2,6,16,1
3751,0.59,191.97,52.48,419.87,52.6,1816.84,535.51,5.2457,4.785,83.41,48.01,80.51,42.19,195.89,78.87,1732.3,8/22/2020 17:00,FALSE,2,6,17,1
3752,0.574,173.56,49.95,399.56,53.13,1823.76,538.02,5.2287,4.8127,81.76,47.73,82.1,42.19,194.76,77.81,1730.57,8/22/2020 18:00,FALSE,2,6,18,1
3753,0.5899,179.26,49.78,398.24,48.25,1828.96,497.59,5.2502,4.8171,81.78,47.71,79.19,42.19,196.45,77.99,1732.69,8/22/2020 19:00,FALSE,2,6,19,1
3754,0.5918,179.79,49.72,397.78,47.11,1826.59,494.41,5.231,4.8128,81.74,47.45,77.03,41.94,201.28,77.84,1730.56,8/22/2020 20:00,FALSE,2,6,20,1
3755,0.612,165.14,45.11,360.9,45.51,1809.34,479.17,5.2411,4.6982,80.7,47.13,76.05,42.13,172.36,77.17,1730.92,8/22/2020 21:00,FALSE,2,6,21,1
3756,0.6073,176.9,47.99,383.92,43.54,1834.06,462.23,5.2413,4.7463,81.36,47.54,75.09,42.23,213.05,77.34,1732.51,8/22/2020 22:00,FALSE,1,6,22,1
3757,0.5524,192.89,56.26,450.09,54.63,1807.32,544.96,5.2228,4.7632,82.47,48.35,73.23,42.11,198.22,77.54,1731.82,8/22/2020 23:00,FALSE,2,6,23,1
3758,0.5489,191.09,56.17,449.38,54.54,1828.56,550.96,5.2091,4.7874,82.25,48.35,72.59,42.11,194.71,77.39,1729.08,8/23/2020 0:00,FALSE,3,4,0,1
3759,0.548,190.75,56.25,449.96,54.53,1823.66,547.17,5.2366,4.7918,82.2,48.35,72.46,42.11,196.49,77.27,1731.3,8/23/2020 1:00,FALSE,3,4,1,1
3760,0.5517,187.34,55.06,440.51,53.58,1813.06,543.67,5.2181,4.7947,81.97,48.22,71.47,42.11,191.28,77.07,1729.35,8/23/2020 2:00,FALSE,3,4,2,1
3761,0.5606,184.46,53.59,428.75,53.36,1847.08,545.61,5.226,4.8022,81.63,48.05,70.83,42.11,186.69,76.77,1732.46,8/23/2020 3:00,FALSE,3,4,3,1
3762,0.5464,178.28,53.51,428.1,53.01,1805.51,540.07,5.2216,4.8169,80.96,48.05,70.14,42.11,183.26,76.25,1729.84,8/23/2020 4:00,FALSE,3,4,4,1
3763,0.5359,173.63,53.53,428.22,51.39,1848.84,533.21,5.2213,4.8254,80.38,48.05,70.16,42.11,180.16,75.75,1730.35,8/23/2020 5:00,FALSE,2,4,5,1
3764,0.5489,193.92,56.89,455.12,51.19,1816.62,525.91,5.2282,5.0328,81.48,48.72,70.21,42.41,202.96,76.15,1730.38,8/23/2020 6:00,FALSE,3,6,6,1
3765,0.5567,194.87,56.26,450.09,57.91,1802.5,573.93,5.2272,4.8837,81.35,48.65,70.9,42.41,199.07,76.35,1731.99,8/23/2020 7:00,FALSE,1,6,7,1
3766,0.5657,198.48,56.15,449.19,57.49,1816.08,571.63,5.2271,4.8125,82.12,48.77,73.02,42.54,211.28,76.9,1729.94,8/23/2020 8:00,FALSE,3,6,8,1
